"bus-cycles","branch-instructions","cache-references","node-loads","branch-misses","node-stores","cache-misses","instructions","L1-icache-load-misses","branch-loads","LLC-load-misses","L1-dcache-loads","LLC-loads","L1-dcache-stores","L1-dcache-load-misses","iTLB-load-misses","class"
"926148","6969523","143232","38814","123844","16571","58429","35000000","232622","7819674","36713","12000000","72558","7227414","336652","39737","rootkit"
"1021836","7988914","135168","33865","105307","16068","52306","40000000","166390","5593801","26146","8456457","50232","5206302","239608","28813","rootkit"
"1014467","7940387","137407","34422","106135","17381","53738","40000000","188638","6329096","29199","9563696","54994","5924175","272755","33045","rootkit"
"1007603","7914982","144197","33767","107243","19897","55444","40000000","191317","6682351","33124","10000000","59696","6384272","289434","35722","rootkit"
"997105","8043547","141967","33276","115846","18745","53592","41000000","185315","6695724","33528","10000000","61721","6496171","290365","35344","rootkit"
"1008180","8317586","143978","34241","122048","19012","54717","43000000","147370","5566662","27267","8371100","50122","5272689","236470","27330","rootkit"
"1005901","8573443","143128","34520","123466","18871","54700","44000000","154038","6000874","29024","8968529","52526","5570695","250932","28216","rootkit"
"1004855","8734077","143975","34652","124640","18887","54749","45000000","157496","6470659","30189","9564245","53952","5826010","264844","29367","rootkit"
"998779","29000000","476","61","85","5","90","110000000","241","28000000","137","21000000","295","14000000","521","5","trojan"
"998837","29000000","475","61","85","5","90","110000000","241","28000000","136","21000000","294","14000000","521","5","trojan"
"998892","29000000","474","61","85","5","89","110000000","240","28000000","136","21000000","294","14000000","520","5","trojan"
"998946","29000000","472","60","85","5","89","110000000","239","28000000","135","21000000","293","14000000","518","5","trojan"
"998991","29000000","471","60","84","5","89","110000000","238","28000000","135","21000000","292","14000000","517","5","trojan"
"999044","29000000","470","60","84","5","88","110000000","238","28000000","134","21000000","291","14000000","516","5","trojan"
"999080","29000000","469","60","84","5","88","110000000","237","28000000","134","21000000","290","14000000","515","5","trojan"
"999134","29000000","467","59","84","5","88","110000000","236","28000000","133","21000000","289","14000000","514","5","trojan"
"999186","29000000","466","59","84","5","87","110000000","235","28000000","133","21000000","289","14000000","513","5","trojan"
"999231","29000000","465","59","83","5","87","110000000","234","28000000","132","21000000","288","14000000","512","5","trojan"
"999276","29000000","464","59","83","5","87","110000000","235","28000000","133","21000000","289","14000000","513","5","trojan"
"999319","29000000","462","59","83","5","86","110000000","235","28000000","133","21000000","289","14000000","513","5","trojan"
"999290","29000000","461","58","83","5","86","110000000","236","28000000","134","21000000","290","14000000","514","5","trojan"
"999334","29000000","460","58","83","5","86","110000000","236","28000000","135","21000000","291","14000000","515","5","trojan"
"999384","29000000","459","58","83","5","85","110000000","236","28000000","136","21000000","292","14000000","516","5","trojan"
"999425","29000000","458","58","83","5","85","110000000","237","28000000","138","21000000","295","14000000","519","5","trojan"
"999461","29000000","457","58","82","5","85","110000000","237","28000000","137","21000000","294","14000000","518","5","trojan"
"999511","29000000","456","57","82","5","84","110000000","237","28000000","137","21000000","294","14000000","518","5","trojan"
"999560","29000000","455","57","82","5","84","110000000","236","29000000","136","21000000","293","14000000","517","5","trojan"
"999521","29000000","455","57","82","5","85","110000000","236","29000000","136","21000000","293","14000000","517","5","trojan"
"999510","29000000","455","57","82","5","85","110000000","236","29000000","137","21000000","294","14000000","518","5","trojan"
"999559","29000000","454","57","82","5","84","110000000","236","29000000","137","21000000","294","14000000","518","5","trojan"
"999608","29000000","453","57","82","5","84","110000000","236","29000000","136","21000000","293","14000000","517","5","trojan"
"999655","29000000","452","57","82","5","84","110000000","235","29000000","136","21000000","292","14000000","516","5","trojan"
